Name,Role,Win %,Pick %,Ban %,Kills,Deaths,Assists,KDA,Damage Dealt,Damage Taken,Healing Done,Largest Spree,Minions Killed,Own Jungle Monsters,Enemy Jungle Monsters,Gold
Ziggs,Middle,47.56,2.9,0.09,6.6,5.88,8.74,2.61,27668,17239,1420,3.11,194.8,8.12,1.54,12662
Karma,Middle,48.67,0.59,0.05,5.81,5.79,9.61,2.66,22637,18408,1693,2.77,163,5.18,1.23,11605
Zyra,Middle,52.38,0.64,0.05,7.63,7.16,9.44,2.38,30052,18738,1219,3.05,170.6,8.77,1.88,12594
Syndra,Middle,42.48,3.3,0.94,7.65,7.21,6.8,2,22692,18755,1193,3.15,182.6,7.24,1.38,12284
Twisted Fate,Middle,50.77,3.2,0.06,7.3,7.06,8.68,2.26,23344,19432,1343,3.17,173.6,7.51,1.77,13092
Brand,Middle,52.04,2.68,0.1,7.89,6.9,8.55,2.38,28416,20267,1315,3.34,160.9,6.37,1.49,12211
Veigar,Middle,50.76,3.01,0.24,8.84,6.48,7.37,2.5,22468,18317,1241,3.84,166.4,5.93,1.27,12428
Jayce,Middle,45.82,1.22,0.23,7.67,6.5,7.8,2.38,24629,21418,1264,3.44,182.7,9.71,2.74,12570
Azir,Middle,37.78,3.1,29.6,5.1,7.29,7.56,1.74,20747,20042,1322,2.14,171.1,7.76,1.46,11345
Talon,Middle,53.2,3.48,0.46,9.73,7.69,7.73,2.27,25098,25447,1610,3.88,175.8,7.72,3.07,13064
Lulu,Middle,48.59,0.77,0.08,5.15,5.36,10.64,2.95,17515,20256,1349,2.54,164.2,4.88,1.12,11484
Vel'Koz,Middle,52.83,2.08,0.17,7.51,6.01,9.22,2.78,28207,17943,1538,3.58,176.8,5.91,1.34,12518
Cassiopeia,Middle,49.92,3.74,3.35,7.89,6.96,7.13,2.16,23976,22900,5153,3.34,171.5,9.58,2.38,12317
Malzahar,Middle,53.56,4.8,0.62,7.12,6.06,8.13,2.52,25529,20673,1312,3.29,183.5,7.69,2.18,12583
Swain,Middle,54.08,3,0.87,8.06,6.32,8.67,2.65,25812,32147,12155,3.69,143,7.06,1.65,11780
Diana,Middle,52.2,3.54,0.38,9.03,6.93,7.21,2.34,23892,21702,1154,3.87,163.8,11.35,3.2,12540
Kennen,Middle,53.45,1.46,0.45,7.5,6.47,8.2,2.43,25183,20667,1081,3.32,161.1,2.43,1.24,11877
Cho'Gath,Middle,52.77,1.09,0.45,7.89,5.32,7.28,2.85,22388,30809,7598,4.06,186.7,10.88,3.64,12684
Vladimir,Middle,51.43,1.27,0.52,7.38,7.13,7.78,2.13,27278,32409,12743,3.12,184.7,6.12,3.07,12432
Lux,Middle,50.48,7.07,0.09,6.96,5.31,10.12,3.22,23839,15131,1184,3.6,169.6,5.05,1.26,12214
Yasuo,Middle,44.58,7.35,14.07,7.76,8.45,7.22,1.77,21104,23712,938,3.01,196.3,11.17,5.32,12997
Fizz,Middle,44.36,3.86,20.56,8.97,7.44,6.42,2.07,19495,22801,1326,3.62,136.8,5.55,1.37,11657
Orianna,Middle,47.44,10.41,0.45,6.18,5.86,10.06,2.77,20748,17254,1351,2.97,184.6,9.8,1.91,12306
Kassadin,Middle,48.46,8.82,13.4,8.53,5.55,7.85,2.95,21727,25597,1903,4.17,153.4,4.64,1.07,11926
Xerath,Middle,50.36,11.61,2.78,7.34,5.62,9.01,2.91,27129,16631,1664,3.6,184.4,6.85,1.4,12537
Zed,Middle,47.28,12.71,47.65,8.45,7.02,6.06,2.07,22353,23629,1611,3.51,190.9,7.5,3.15,12829
LeBlanc,Middle,47.85,14.5,25.95,9.24,5.98,6.6,2.65,22263,19661,1690,4.27,149.2,4.88,1.17,11971
Lissandra,Middle,50.49,7.84,26.48,6.84,6.75,9.26,2.39,22632,21553,1532,3,190.2,6.99,1.74,12528
Katarina,Middle,55.23,15.94,29.52,10.09,6.59,7.49,2.67,24646,21109,1388,4.52,169.2,2.23,1.23,12609
Ahri,Middle,51.18,18.36,48.63,7.29,6.01,8.53,2.63,23439,20092,3621,3.37,173.6,5.83,1.43,12195
Annie,Middle,55.34,9.96,6.05,8.44,6.54,7.99,2.51,24597,19958,1141,3.71,166.7,4.61,1.47,12297
Ezreal,Middle,46.16,3.49,0.26,7.66,6.06,8.16,2.61,27526,20023,1464,3.58,177.7,6.93,2.44,12458
Nidalee,Middle,48.85,7.48,30.53,8.42,6.48,7.03,2.38,24483,24830,10535,3.81,149.2,8.66,2.97,11968
Morgana,Middle,53.49,2.92,20.04,6.3,5.25,10.58,3.22,22112,21496,1013,3.15,172,5.5,1.39,12053
Kog'Maw,ADC,50.21,0.76,0.03,8,6.6,8.49,2.5,27896,24029,2767,3.42,191.7,9.97,2.73,13261
Twitch,ADC,45.67,1.22,0.02,8.61,6.9,7.4,2.32,22800,22131,2503,3.64,177.4,8.46,2.66,12792
Quinn,ADC,50.19,0.85,0.02,9.1,7.08,7.41,2.33,22606,22390,2433,3.77,189.7,8.5,3.64,13277
Miss Fortune,ADC,52.62,2.11,0.02,8.46,6.83,8.73,2.52,24264,22216,2455,3.7,200.6,8.79,3.42,13593
Varus,ADC,50.27,2.35,0.03,8.08,6.65,8.72,2.53,24407,20383,2442,3.6,202.5,8.78,3.11,13434
Ashe,ADC,54.21,3.7,0.07,7.79,6.74,10.05,2.65,25293,19744,2357,3.42,193.9,8.4,2.92,13984
Draven,ADC,50.88,7.5,0.45,8.29,6.71,7.37,2.33,24656,21521,2244,3.58,195.6,9.98,3.6,14205
Corki,ADC,49.49,8.36,0.14,8.04,5.53,8.39,2.97,25595,21986,2755,3.93,207.2,9.58,3.02,13407
Tristana,ADC,45.81,10.49,1.03,7.8,5.92,6.92,2.49,21190,21223,2438,3.58,198.3,9.49,2.99,12985
Lucian,ADC,46.52,11.15,0.17,7.51,6.22,7.61,2.43,22595,21503,2529,3.38,213.7,10.85,3.46,13435
Sivir,ADC,54.08,11.34,0.42,7.13,5.76,9.74,2.93,23858,20002,2650,3.39,219.8,9.43,3.3,13703
Kalista,ADC,50.49,13.26,17.25,7.93,6.55,7.62,2.37,21916,21414,2367,3.59,201.5,10.76,4.57,13132
Vayne,ADC,48.37,16.67,1.11,8.25,6.85,6.72,2.19,22423,23623,2632,3.51,193.8,9.98,3.26,13049
Ezreal,ADC,49.18,15.98,0.26,7.93,5.47,9.03,3.1,27098,20982,2405,3.84,198.7,8.05,2.94,13265
Caitlyn,ADC,49.81,23.27,0.56,7.08,5.97,8.22,2.56,24393,19691,2282,3.34,208.7,9.56,3.15,13266
Jinx,ADC,54.4,32.45,1.04,8.33,6.2,8.28,2.68,24295,19701,2377,3.9,204.5,11.18,3.74,13539
Graves,ADC,50.96,39.57,7.43,8.12,5.79,7.74,2.74,23197,21103,2534,3.8,213.7,10.27,3.38,13570
Zilean,Support,40.99,0.64,0.1,2.52,6.42,12.25,2.3,11729,18428,2790,0.96,31.5,0.65,0.37,9386
Nunu,Support,47.96,0.34,0.05,2.44,6.3,13.52,2.53,9990,26634,4468,0.91,42.4,1.84,1.1,9368
Taric,Support,52.12,1.98,0.07,1.62,5.57,14.78,2.94,7433,27535,12231,0.57,43.4,0.32,0.31,9152
Gragas,Support,49.08,0.38,0.1,2.58,6.28,12.37,2.38,12440,28826,6656,1.06,48.5,1.74,0.8,9461
Nautilus,Support,49.58,0.32,0.05,2.01,6.06,12.95,2.47,9969,23909,2910,0.74,47.6,3.57,0.67,9134
Karma,Support,49.23,2.38,0.05,2.5,6.39,13.65,2.53,15452,18134,1093,0.97,36.4,0.79,0.56,10206
Zyra,Support,51.76,2.6,0.05,3.84,7.45,12.48,2.19,22095,18338,847,1.4,44.4,1.72,0.92,10777
Soraka,Support,51.82,3.4,0.18,0.93,5.34,15.23,3.03,6774,14925,22205,0.25,16.7,0.26,0.19,9112
Brand,Support,53.45,0.69,0.1,4.5,7.46,11.09,2.09,22116,19007,987,1.85,43.3,1.52,1.01,10514
